"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2018"
"8487","18/04/2020",18,4,2020,998,26,"Peru","PE","PER",31989256
"8488","17/04/2020",17,4,2020,1016,20,"Peru","PE","PER",31989256
"8489","16/04/2020",16,4,2020,1172,24,"Peru","PE","PER",31989256
"8490","15/04/2020",15,4,2020,2784,37,"Peru","PE","PER",31989256
"8491","14/04/2020",14,4,2020,0,0,"Peru","PE","PER",31989256
"8492","13/04/2020",13,4,2020,671,12,"Peru","PE","PER",31989256
"8493","12/04/2020",12,4,2020,951,12,"Peru","PE","PER",31989256
"8494","11/04/2020",11,4,2020,641,31,"Peru","PE","PER",31989256
"8495","10/04/2020",10,4,2020,914,17,"Peru","PE","PER",31989256
"8496","09/04/2020",9,4,2020,1388,14,"Peru","PE","PER",31989256
"8497","08/04/2020",8,4,2020,393,15,"Peru","PE","PER",31989256
"8498","07/04/2020",7,4,2020,280,9,"Peru","PE","PER",31989256
"8499","06/04/2020",6,4,2020,535,10,"Peru","PE","PER",31989256
"8500","05/04/2020",5,4,2020,151,12,"Peru","PE","PER",31989256
"8501","04/04/2020",4,4,2020,181,6,"Peru","PE","PER",31989256
"8502","03/04/2020",3,4,2020,91,8,"Peru","PE","PER",31989256
"8503","02/04/2020",2,4,2020,258,17,"Peru","PE","PER",31989256
"8504","01/04/2020",1,4,2020,115,6,"Peru","PE","PER",31989256
"8505","31/03/2020",31,3,2020,98,6,"Peru","PE","PER",31989256
"8506","30/03/2020",30,3,2020,181,2,"Peru","PE","PER",31989256
"8507","29/03/2020",29,3,2020,36,5,"Peru","PE","PER",31989256
"8508","28/03/2020",28,3,2020,55,2,"Peru","PE","PER",31989256
"8509","27/03/2020",27,3,2020,22,1,"Peru","PE","PER",31989256
"8510","26/03/2020",26,3,2020,142,1,"Peru","PE","PER",31989256
"8511","25/03/2020",25,3,2020,21,2,"Peru","PE","PER",31989256
"8512","24/03/2020",24,3,2020,32,0,"Peru","PE","PER",31989256
"8513","23/03/2020",23,3,2020,45,0,"Peru","PE","PER",31989256
"8514","22/03/2020",22,3,2020,55,2,"Peru","PE","PER",31989256
"8515","21/03/2020",21,3,2020,29,1,"Peru","PE","PER",31989256
"8516","20/03/2020",20,3,2020,89,2,"Peru","PE","PER",31989256
"8517","19/03/2020",19,3,2020,28,0,"Peru","PE","PER",31989256
"8518","18/03/2020",18,3,2020,31,0,"Peru","PE","PER",31989256
"8519","17/03/2020",17,3,2020,15,0,"Peru","PE","PER",31989256
"8520","16/03/2020",16,3,2020,28,0,"Peru","PE","PER",31989256
"8521","15/03/2020",15,3,2020,5,0,"Peru","PE","PER",31989256
"8522","14/03/2020",14,3,2020,16,0,"Peru","PE","PER",31989256
"8523","13/03/2020",13,3,2020,5,0,"Peru","PE","PER",31989256
"8524","12/03/2020",12,3,2020,6,0,"Peru","PE","PER",31989256
"8525","11/03/2020",11,3,2020,2,0,"Peru","PE","PER",31989256
"8526","10/03/2020",10,3,2020,2,0,"Peru","PE","PER",31989256
"8527","09/03/2020",9,3,2020,6,0,"Peru","PE","PER",31989256
"8528","07/03/2020",7,3,2020,1,0,"Peru","PE","PER",31989256
