"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2018"
"8748","18/04/2020",18,4,2020,560,0,"Qatar","QA","QAT",2781677
"8749","17/04/2020",17,4,2020,392,0,"Qatar","QA","QAT",2781677
"8750","16/04/2020",16,4,2020,283,0,"Qatar","QA","QAT",2781677
"8751","15/04/2020",15,4,2020,197,0,"Qatar","QA","QAT",2781677
"8752","14/04/2020",14,4,2020,252,0,"Qatar","QA","QAT",2781677
"8753","13/04/2020",13,4,2020,251,1,"Qatar","QA","QAT",2781677
"8754","12/04/2020",12,4,2020,216,0,"Qatar","QA","QAT",2781677
"8755","11/04/2020",11,4,2020,136,0,"Qatar","QA","QAT",2781677
"8756","10/04/2020",10,4,2020,166,0,"Qatar","QA","QAT",2781677
"8757","09/04/2020",9,4,2020,153,0,"Qatar","QA","QAT",2781677
"8758","08/04/2020",8,4,2020,225,2,"Qatar","QA","QAT",2781677
"8759","07/04/2020",7,4,2020,228,0,"Qatar","QA","QAT",2781677
"8760","06/04/2020",6,4,2020,279,1,"Qatar","QA","QAT",2781677
"8761","05/04/2020",5,4,2020,376,0,"Qatar","QA","QAT",2781677
"8762","04/04/2020",4,4,2020,0,0,"Qatar","QA","QAT",2781677
"8763","03/04/2020",3,4,2020,114,1,"Qatar","QA","QAT",2781677
"8764","02/04/2020",2,4,2020,54,0,"Qatar","QA","QAT",2781677
"8765","01/04/2020",1,4,2020,88,1,"Qatar","QA","QAT",2781677
"8766","31/03/2020",31,3,2020,59,0,"Qatar","QA","QAT",2781677
"8767","30/03/2020",30,3,2020,44,0,"Qatar","QA","QAT",2781677
"8768","29/03/2020",29,3,2020,28,1,"Qatar","QA","QAT",2781677
"8769","28/03/2020",28,3,2020,13,0,"Qatar","QA","QAT",2781677
"8770","27/03/2020",27,3,2020,12,0,"Qatar","QA","QAT",2781677
"8771","26/03/2020",26,3,2020,11,0,"Qatar","QA","QAT",2781677
"8772","25/03/2020",25,3,2020,25,0,"Qatar","QA","QAT",2781677
"8773","24/03/2020",24,3,2020,7,0,"Qatar","QA","QAT",2781677
"8774","23/03/2020",23,3,2020,13,0,"Qatar","QA","QAT",2781677
"8775","22/03/2020",22,3,2020,11,0,"Qatar","QA","QAT",2781677
"8776","21/03/2020",21,3,2020,10,0,"Qatar","QA","QAT",2781677
"8777","20/03/2020",20,3,2020,8,0,"Qatar","QA","QAT",2781677
"8778","19/03/2020",19,3,2020,10,0,"Qatar","QA","QAT",2781677
"8779","18/03/2020",18,3,2020,3,0,"Qatar","QA","QAT",2781677
"8780","17/03/2020",17,3,2020,38,0,"Qatar","QA","QAT",2781677
"8781","16/03/2020",16,3,2020,64,0,"Qatar","QA","QAT",2781677
"8782","15/03/2020",15,3,2020,17,0,"Qatar","QA","QAT",2781677
"8783","14/03/2020",14,3,2020,58,0,"Qatar","QA","QAT",2781677
"8784","12/03/2020",12,3,2020,238,0,"Qatar","QA","QAT",2781677
"8785","11/03/2020",11,3,2020,6,0,"Qatar","QA","QAT",2781677
"8786","10/03/2020",10,3,2020,3,0,"Qatar","QA","QAT",2781677
"8787","09/03/2020",9,3,2020,3,0,"Qatar","QA","QAT",2781677
"8788","08/03/2020",8,3,2020,1,0,"Qatar","QA","QAT",2781677
"8789","07/03/2020",7,3,2020,3,0,"Qatar","QA","QAT",2781677
"8790","04/03/2020",4,3,2020,5,0,"Qatar","QA","QAT",2781677
"8791","02/03/2020",2,3,2020,2,0,"Qatar","QA","QAT",2781677
"8792","01/03/2020",1,3,2020,1,0,"Qatar","QA","QAT",2781677
"8793","29/02/2020",29,2,2020,0,0,"Qatar","QA","QAT",2781677
"8794","28/02/2020",28,2,2020,0,0,"Qatar","QA","QAT",2781677
"8795","27/02/2020",27,2,2020,0,0,"Qatar","QA","QAT",2781677
"8796","26/02/2020",26,2,2020,0,0,"Qatar","QA","QAT",2781677
"8797","25/02/2020",25,2,2020,0,0,"Qatar","QA","QAT",2781677
"8798","24/02/2020",24,2,2020,0,0,"Qatar","QA","QAT",2781677
"8799","23/02/2020",23,2,2020,0,0,"Qatar","QA","QAT",2781677
"8800","22/02/2020",22,2,2020,0,0,"Qatar","QA","QAT",2781677
"8801","21/02/2020",21,2,2020,0,0,"Qatar","QA","QAT",2781677
"8802","20/02/2020",20,2,2020,0,0,"Qatar","QA","QAT",2781677
"8803","19/02/2020",19,2,2020,0,0,"Qatar","QA","QAT",2781677
"8804","18/02/2020",18,2,2020,0,0,"Qatar","QA","QAT",2781677
"8805","17/02/2020",17,2,2020,0,0,"Qatar","QA","QAT",2781677
"8806","16/02/2020",16,2,2020,0,0,"Qatar","QA","QAT",2781677
"8807","15/02/2020",15,2,2020,0,0,"Qatar","QA","QAT",2781677
"8808","14/02/2020",14,2,2020,0,0,"Qatar","QA","QAT",2781677
"8809","13/02/2020",13,2,2020,0,0,"Qatar","QA","QAT",2781677
"8810","12/02/2020",12,2,2020,0,0,"Qatar","QA","QAT",2781677
"8811","11/02/2020",11,2,2020,0,0,"Qatar","QA","QAT",2781677
"8812","10/02/2020",10,2,2020,0,0,"Qatar","QA","QAT",2781677
"8813","09/02/2020",9,2,2020,0,0,"Qatar","QA","QAT",2781677
"8814","08/02/2020",8,2,2020,0,0,"Qatar","QA","QAT",2781677
"8815","07/02/2020",7,2,2020,0,0,"Qatar","QA","QAT",2781677
"8816","06/02/2020",6,2,2020,0,0,"Qatar","QA","QAT",2781677
"8817","05/02/2020",5,2,2020,0,0,"Qatar","QA","QAT",2781677
"8818","04/02/2020",4,2,2020,0,0,"Qatar","QA","QAT",2781677
"8819","03/02/2020",3,2,2020,0,0,"Qatar","QA","QAT",2781677
"8820","02/02/2020",2,2,2020,0,0,"Qatar","QA","QAT",2781677
"8821","01/02/2020",1,2,2020,0,0,"Qatar","QA","QAT",2781677
"8822","31/01/2020",31,1,2020,0,0,"Qatar","QA","QAT",2781677
"8823","30/01/2020",30,1,2020,0,0,"Qatar","QA","QAT",2781677
"8824","29/01/2020",29,1,2020,0,0,"Qatar","QA","QAT",2781677
"8825","28/01/2020",28,1,2020,0,0,"Qatar","QA","QAT",2781677
"8826","27/01/2020",27,1,2020,0,0,"Qatar","QA","QAT",2781677
"8827","26/01/2020",26,1,2020,0,0,"Qatar","QA","QAT",2781677
"8828","25/01/2020",25,1,2020,0,0,"Qatar","QA","QAT",2781677
