"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2018"
"9161","18/04/2020",18,4,2020,0,0,"Saint Vincent and the Grenadines","VC","VCT",110210
"9162","17/04/2020",17,4,2020,0,0,"Saint Vincent and the Grenadines","VC","VCT",110210
"9163","16/04/2020",16,4,2020,0,0,"Saint Vincent and the Grenadines","VC","VCT",110210
"9164","15/04/2020",15,4,2020,0,0,"Saint Vincent and the Grenadines","VC","VCT",110210
"9165","14/04/2020",14,4,2020,0,0,"Saint Vincent and the Grenadines","VC","VCT",110210
"9166","13/04/2020",13,4,2020,0,0,"Saint Vincent and the Grenadines","VC","VCT",110210
"9167","12/04/2020",12,4,2020,0,0,"Saint Vincent and the Grenadines","VC","VCT",110210
"9168","11/04/2020",11,4,2020,0,0,"Saint Vincent and the Grenadines","VC","VCT",110210
"9169","10/04/2020",10,4,2020,4,0,"Saint Vincent and the Grenadines","VC","VCT",110210
"9170","09/04/2020",9,4,2020,0,0,"Saint Vincent and the Grenadines","VC","VCT",110210
"9171","08/04/2020",8,4,2020,1,0,"Saint Vincent and the Grenadines","VC","VCT",110210
"9172","07/04/2020",7,4,2020,0,0,"Saint Vincent and the Grenadines","VC","VCT",110210
"9173","06/04/2020",6,4,2020,0,0,"Saint Vincent and the Grenadines","VC","VCT",110210
"9174","05/04/2020",5,4,2020,0,0,"Saint Vincent and the Grenadines","VC","VCT",110210
"9175","04/04/2020",4,4,2020,5,0,"Saint Vincent and the Grenadines","VC","VCT",110210
"9176","03/04/2020",3,4,2020,0,0,"Saint Vincent and the Grenadines","VC","VCT",110210
"9177","02/04/2020",2,4,2020,1,0,"Saint Vincent and the Grenadines","VC","VCT",110210
"9178","01/04/2020",1,4,2020,0,0,"Saint Vincent and the Grenadines","VC","VCT",110210
"9179","31/03/2020",31,3,2020,0,0,"Saint Vincent and the Grenadines","VC","VCT",110210
"9180","30/03/2020",30,3,2020,0,0,"Saint Vincent and the Grenadines","VC","VCT",110210
"9181","29/03/2020",29,3,2020,0,0,"Saint Vincent and the Grenadines","VC","VCT",110210
"9182","28/03/2020",28,3,2020,0,0,"Saint Vincent and the Grenadines","VC","VCT",110210
"9183","27/03/2020",27,3,2020,0,0,"Saint Vincent and the Grenadines","VC","VCT",110210
"9184","26/03/2020",26,3,2020,0,0,"Saint Vincent and the Grenadines","VC","VCT",110210
"9185","25/03/2020",25,3,2020,0,0,"Saint Vincent and the Grenadines","VC","VCT",110210
"9186","13/03/2020",13,3,2020,1,0,"Saint Vincent and the Grenadines","VC","VCT",110210
