"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2018"
"9102","18/04/2020",18,4,2020,0,0,"Saint_Kitts_and_Nevis","KN","KNA",52441
"9103","17/04/2020",17,4,2020,0,0,"Saint_Kitts_and_Nevis","KN","KNA",52441
"9104","16/04/2020",16,4,2020,0,0,"Saint_Kitts_and_Nevis","KN","KNA",52441
"9105","15/04/2020",15,4,2020,2,0,"Saint_Kitts_and_Nevis","KN","KNA",52441
"9106","14/04/2020",14,4,2020,0,0,"Saint_Kitts_and_Nevis","KN","KNA",52441
"9107","13/04/2020",13,4,2020,0,0,"Saint_Kitts_and_Nevis","KN","KNA",52441
"9108","12/04/2020",12,4,2020,0,0,"Saint_Kitts_and_Nevis","KN","KNA",52441
"9109","11/04/2020",11,4,2020,1,0,"Saint_Kitts_and_Nevis","KN","KNA",52441
"9110","10/04/2020",10,4,2020,0,0,"Saint_Kitts_and_Nevis","KN","KNA",52441
"9111","09/04/2020",9,4,2020,0,0,"Saint_Kitts_and_Nevis","KN","KNA",52441
"9112","08/04/2020",8,4,2020,0,0,"Saint_Kitts_and_Nevis","KN","KNA",52441
"9113","07/04/2020",7,4,2020,1,0,"Saint_Kitts_and_Nevis","KN","KNA",52441
"9114","06/04/2020",6,4,2020,0,0,"Saint_Kitts_and_Nevis","KN","KNA",52441
"9115","05/04/2020",5,4,2020,1,0,"Saint_Kitts_and_Nevis","KN","KNA",52441
"9116","04/04/2020",4,4,2020,1,0,"Saint_Kitts_and_Nevis","KN","KNA",52441
"9117","03/04/2020",3,4,2020,0,0,"Saint_Kitts_and_Nevis","KN","KNA",52441
"9118","02/04/2020",2,4,2020,0,0,"Saint_Kitts_and_Nevis","KN","KNA",52441
"9119","01/04/2020",1,4,2020,1,0,"Saint_Kitts_and_Nevis","KN","KNA",52441
"9120","31/03/2020",31,3,2020,0,0,"Saint_Kitts_and_Nevis","KN","KNA",52441
"9121","30/03/2020",30,3,2020,5,0,"Saint_Kitts_and_Nevis","KN","KNA",52441
"9122","29/03/2020",29,3,2020,0,0,"Saint_Kitts_and_Nevis","KN","KNA",52441
"9123","28/03/2020",28,3,2020,0,0,"Saint_Kitts_and_Nevis","KN","KNA",52441
"9124","27/03/2020",27,3,2020,0,0,"Saint_Kitts_and_Nevis","KN","KNA",52441
"9125","26/03/2020",26,3,2020,2,0,"Saint_Kitts_and_Nevis","KN","KNA",52441
