"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2018"
"9187","18/04/2020",18,4,2020,9,1,"San_Marino","SM","SMR",33785
"9188","17/04/2020",17,4,2020,34,2,"San_Marino","SM","SMR",33785
"9189","16/04/2020",16,4,2020,20,0,"San_Marino","SM","SMR",33785
"9190","15/04/2020",15,4,2020,16,0,"San_Marino","SM","SMR",33785
"9191","14/04/2020",14,4,2020,0,1,"San_Marino","SM","SMR",33785
"9192","13/04/2020",13,4,2020,0,0,"San_Marino","SM","SMR",33785
"9193","12/04/2020",12,4,2020,12,1,"San_Marino","SM","SMR",33785
"9194","11/04/2020",11,4,2020,11,0,"San_Marino","SM","SMR",33785
"9195","10/04/2020",10,4,2020,25,0,"San_Marino","SM","SMR",33785
"9196","09/04/2020",9,4,2020,29,0,"San_Marino","SM","SMR",33785
"9197","08/04/2020",8,4,2020,2,2,"San_Marino","SM","SMR",33785
"9198","07/04/2020",7,4,2020,11,0,"San_Marino","SM","SMR",33785
"9199","06/04/2020",6,4,2020,7,0,"San_Marino","SM","SMR",33785
"9200","05/04/2020",5,4,2020,8,0,"San_Marino","SM","SMR",33785
"9201","04/04/2020",4,4,2020,6,2,"San_Marino","SM","SMR",33785
"9202","03/04/2020",3,4,2020,9,4,"San_Marino","SM","SMR",33785
"9203","02/04/2020",2,4,2020,6,0,"San_Marino","SM","SMR",33785
"9204","01/04/2020",1,4,2020,1,1,"San_Marino","SM","SMR",33785
"9205","31/03/2020",31,3,2020,0,1,"San_Marino","SM","SMR",33785
"9206","30/03/2020",30,3,2020,5,2,"San_Marino","SM","SMR",33785
"9207","29/03/2020",29,3,2020,1,1,"San_Marino","SM","SMR",33785
"9208","28/03/2020",28,3,2020,5,0,"San_Marino","SM","SMR",33785
"9209","27/03/2020",27,3,2020,10,0,"San_Marino","SM","SMR",33785
"9210","26/03/2020",26,3,2020,21,0,"San_Marino","SM","SMR",33785
"9211","25/03/2020",25,3,2020,0,1,"San_Marino","SM","SMR",33785
"9212","24/03/2020",24,3,2020,36,0,"San_Marino","SM","SMR",33785
"9213","23/03/2020",23,3,2020,0,0,"San_Marino","SM","SMR",33785
"9214","22/03/2020",22,3,2020,0,6,"San_Marino","SM","SMR",33785
"9215","21/03/2020",21,3,2020,25,0,"San_Marino","SM","SMR",33785
"9216","20/03/2020",20,3,2020,17,0,"San_Marino","SM","SMR",33785
"9217","19/03/2020",19,3,2020,5,3,"San_Marino","SM","SMR",33785
"9218","18/03/2020",18,3,2020,2,2,"San_Marino","SM","SMR",33785
"9219","17/03/2020",17,3,2020,4,2,"San_Marino","SM","SMR",33785
"9220","16/03/2020",16,3,2020,6,2,"San_Marino","SM","SMR",33785
"9221","15/03/2020",15,3,2020,19,0,"San_Marino","SM","SMR",33785
"9222","14/03/2020",14,3,2020,6,0,"San_Marino","SM","SMR",33785
"9223","13/03/2020",13,3,2020,1,2,"San_Marino","SM","SMR",33785
"9224","12/03/2020",12,3,2020,4,1,"San_Marino","SM","SMR",33785
"9225","11/03/2020",11,3,2020,13,0,"San_Marino","SM","SMR",33785
"9226","10/03/2020",10,3,2020,12,1,"San_Marino","SM","SMR",33785
"9227","09/03/2020",9,3,2020,11,0,"San_Marino","SM","SMR",33785
"9228","08/03/2020",8,3,2020,3,0,"San_Marino","SM","SMR",33785
"9229","07/03/2020",7,3,2020,1,0,"San_Marino","SM","SMR",33785
"9230","06/03/2020",6,3,2020,7,0,"San_Marino","SM","SMR",33785
"9231","05/03/2020",5,3,2020,5,0,"San_Marino","SM","SMR",33785
"9232","04/03/2020",4,3,2020,2,0,"San_Marino","SM","SMR",33785
"9233","02/03/2020",2,3,2020,7,1,"San_Marino","SM","SMR",33785
"9234","01/03/2020",1,3,2020,0,0,"San_Marino","SM","SMR",33785
"9235","29/02/2020",29,2,2020,0,0,"San_Marino","SM","SMR",33785
"9236","28/02/2020",28,2,2020,1,0,"San_Marino","SM","SMR",33785
