"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2018"
"9296","18/04/2020",18,4,2020,0,0,"Sao Tome and Principe","ST","STP",211028
"9297","17/04/2020",17,4,2020,0,0,"Sao Tome and Principe","ST","STP",211028
"9298","16/04/2020",16,4,2020,0,0,"Sao Tome and Principe","ST","STP",211028
"9299","15/04/2020",15,4,2020,0,0,"Sao Tome and Principe","ST","STP",211028
"9300","14/04/2020",14,4,2020,0,0,"Sao Tome and Principe","ST","STP",211028
"9301","13/04/2020",13,4,2020,0,0,"Sao Tome and Principe","ST","STP",211028
"9302","12/04/2020",12,4,2020,0,0,"Sao Tome and Principe","ST","STP",211028
"9303","11/04/2020",11,4,2020,0,0,"Sao Tome and Principe","ST","STP",211028
"9304","10/04/2020",10,4,2020,0,0,"Sao Tome and Principe","ST","STP",211028
"9305","09/04/2020",9,4,2020,4,0,"Sao Tome and Principe","ST","STP",211028
