"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2018"
"9350","18/04/2020",18,4,2020,7,1,"Senegal","SN","SEN",15854360
"9351","17/04/2020",17,4,2020,21,0,"Senegal","SN","SEN",15854360
"9352","16/04/2020",16,4,2020,15,0,"Senegal","SN","SEN",15854360
"9353","15/04/2020",15,4,2020,8,0,"Senegal","SN","SEN",15854360
"9354","14/04/2020",14,4,2020,11,0,"Senegal","SN","SEN",15854360
"9355","13/04/2020",13,4,2020,2,0,"Senegal","SN","SEN",15854360
"9356","12/04/2020",12,4,2020,13,0,"Senegal","SN","SEN",15854360
"9357","11/04/2020",11,4,2020,15,0,"Senegal","SN","SEN",15854360
"9358","10/04/2020",10,4,2020,6,0,"Senegal","SN","SEN",15854360
"9359","09/04/2020",9,4,2020,7,0,"Senegal","SN","SEN",15854360
"9360","08/04/2020",8,4,2020,11,0,"Senegal","SN","SEN",15854360
"9361","07/04/2020",7,4,2020,4,0,"Senegal","SN","SEN",15854360
"9362","06/04/2020",6,4,2020,3,0,"Senegal","SN","SEN",15854360
"9363","05/04/2020",5,4,2020,12,1,"Senegal","SN","SEN",15854360
"9364","04/04/2020",4,4,2020,12,0,"Senegal","SN","SEN",15854360
"9365","03/04/2020",3,4,2020,5,0,"Senegal","SN","SEN",15854360
"9366","02/04/2020",2,4,2020,15,1,"Senegal","SN","SEN",15854360
"9367","01/04/2020",1,4,2020,13,0,"Senegal","SN","SEN",15854360
"9368","31/03/2020",31,3,2020,20,0,"Senegal","SN","SEN",15854360
"9369","30/03/2020",30,3,2020,12,0,"Senegal","SN","SEN",15854360
"9370","29/03/2020",29,3,2020,11,0,"Senegal","SN","SEN",15854360
"9371","28/03/2020",28,3,2020,14,0,"Senegal","SN","SEN",15854360
"9372","27/03/2020",27,3,2020,6,0,"Senegal","SN","SEN",15854360
"9373","26/03/2020",26,3,2020,13,0,"Senegal","SN","SEN",15854360
"9374","25/03/2020",25,3,2020,7,0,"Senegal","SN","SEN",15854360
"9375","24/03/2020",24,3,2020,12,0,"Senegal","SN","SEN",15854360
"9376","23/03/2020",23,3,2020,11,0,"Senegal","SN","SEN",15854360
"9377","22/03/2020",22,3,2020,9,0,"Senegal","SN","SEN",15854360
"9378","21/03/2020",21,3,2020,11,0,"Senegal","SN","SEN",15854360
"9379","20/03/2020",20,3,2020,0,0,"Senegal","SN","SEN",15854360
"9380","19/03/2020",19,3,2020,5,0,"Senegal","SN","SEN",15854360
"9381","18/03/2020",18,3,2020,4,0,"Senegal","SN","SEN",15854360
"9382","17/03/2020",17,3,2020,1,0,"Senegal","SN","SEN",15854360
"9383","16/03/2020",16,3,2020,5,0,"Senegal","SN","SEN",15854360
"9384","15/03/2020",15,3,2020,2,0,"Senegal","SN","SEN",15854360
"9385","14/03/2020",14,3,2020,13,0,"Senegal","SN","SEN",15854360
"9386","13/03/2020",13,3,2020,2,0,"Senegal","SN","SEN",15854360
"9387","06/03/2020",6,3,2020,1,0,"Senegal","SN","SEN",15854360
"9388","05/03/2020",5,3,2020,2,0,"Senegal","SN","SEN",15854360
"9389","03/03/2020",3,3,2020,1,0,"Senegal","SN","SEN",15854360
