"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2018"
"9390","18/04/2020",18,4,2020,372,7,"Serbia","RS","SRB",6982084
"9391","17/04/2020",17,4,2020,445,4,"Serbia","RS","SRB",6982084
"9392","16/04/2020",16,4,2020,819,15,"Serbia","RS","SRB",6982084
"9393","15/04/2020",15,4,2020,424,4,"Serbia","RS","SRB",6982084
"9394","14/04/2020",14,4,2020,0,0,"Serbia","RS","SRB",6982084
"9395","13/04/2020",13,4,2020,250,6,"Serbia","RS","SRB",6982084
"9396","12/04/2020",12,4,2020,275,3,"Serbia","RS","SRB",6982084
"9397","11/04/2020",11,4,2020,238,5,"Serbia","RS","SRB",6982084
"9398","10/04/2020",10,4,2020,201,1,"Serbia","RS","SRB",6982084
"9399","09/04/2020",9,4,2020,219,4,"Serbia","RS","SRB",6982084
"9400","08/04/2020",8,4,2020,247,3,"Serbia","RS","SRB",6982084
"9401","07/04/2020",7,4,2020,292,7,"Serbia","RS","SRB",6982084
"9402","06/04/2020",6,4,2020,284,7,"Serbia","RS","SRB",6982084
"9403","05/04/2020",5,4,2020,148,5,"Serbia","RS","SRB",6982084
"9404","04/04/2020",4,4,2020,305,8,"Serbia","RS","SRB",6982084
"9405","03/04/2020",3,4,2020,111,8,"Serbia","RS","SRB",6982084
"9406","02/04/2020",2,4,2020,160,0,"Serbia","RS","SRB",6982084
"9407","01/04/2020",1,4,2020,159,10,"Serbia","RS","SRB",6982084
"9408","31/03/2020",31,3,2020,0,0,"Serbia","RS","SRB",6982084
"9409","30/03/2020",30,3,2020,82,3,"Serbia","RS","SRB",6982084
"9410","29/03/2020",29,3,2020,202,4,"Serbia","RS","SRB",6982084
"9411","28/03/2020",28,3,2020,73,3,"Serbia","RS","SRB",6982084
"9412","27/03/2020",27,3,2020,81,1,"Serbia","RS","SRB",6982084
"9413","26/03/2020",26,3,2020,54,1,"Serbia","RS","SRB",6982084
"9414","25/03/2020",25,3,2020,27,0,"Serbia","RS","SRB",6982084
"9415","24/03/2020",24,3,2020,34,0,"Serbia","RS","SRB",6982084
"9416","23/03/2020",23,3,2020,39,0,"Serbia","RS","SRB",6982084
"9417","22/03/2020",22,3,2020,14,0,"Serbia","RS","SRB",6982084
"9418","21/03/2020",21,3,2020,9,1,"Serbia","RS","SRB",6982084
"9419","20/03/2020",20,3,2020,32,0,"Serbia","RS","SRB",6982084
"9420","19/03/2020",19,3,2020,22,0,"Serbia","RS","SRB",6982084
"9421","18/03/2020",18,3,2020,15,0,"Serbia","RS","SRB",6982084
"9422","17/03/2020",17,3,2020,2,0,"Serbia","RS","SRB",6982084
"9423","16/03/2020",16,3,2020,9,0,"Serbia","RS","SRB",6982084
"9424","15/03/2020",15,3,2020,5,0,"Serbia","RS","SRB",6982084
"9425","14/03/2020",14,3,2020,17,0,"Serbia","RS","SRB",6982084
"9426","13/03/2020",13,3,2020,6,0,"Serbia","RS","SRB",6982084
"9427","12/03/2020",12,3,2020,13,0,"Serbia","RS","SRB",6982084
"9428","11/03/2020",11,3,2020,4,0,"Serbia","RS","SRB",6982084
"9429","07/03/2020",7,3,2020,1,0,"Serbia","RS","SRB",6982084
