"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2018"
"9430","18/04/2020",18,4,2020,0,0,"Seychelles","SC","SYC",96762
"9431","17/04/2020",17,4,2020,0,0,"Seychelles","SC","SYC",96762
"9432","16/04/2020",16,4,2020,0,0,"Seychelles","SC","SYC",96762
"9433","15/04/2020",15,4,2020,1,0,"Seychelles","SC","SYC",96762
"9434","14/04/2020",14,4,2020,0,0,"Seychelles","SC","SYC",96762
"9435","13/04/2020",13,4,2020,0,0,"Seychelles","SC","SYC",96762
"9436","12/04/2020",12,4,2020,0,0,"Seychelles","SC","SYC",96762
"9437","11/04/2020",11,4,2020,0,0,"Seychelles","SC","SYC",96762
"9438","10/04/2020",10,4,2020,0,0,"Seychelles","SC","SYC",96762
"9439","09/04/2020",9,4,2020,0,0,"Seychelles","SC","SYC",96762
"9440","08/04/2020",8,4,2020,0,0,"Seychelles","SC","SYC",96762
"9441","07/04/2020",7,4,2020,0,0,"Seychelles","SC","SYC",96762
"9442","06/04/2020",6,4,2020,0,0,"Seychelles","SC","SYC",96762
"9443","05/04/2020",5,4,2020,0,0,"Seychelles","SC","SYC",96762
"9444","04/04/2020",4,4,2020,0,0,"Seychelles","SC","SYC",96762
"9445","03/04/2020",3,4,2020,0,0,"Seychelles","SC","SYC",96762
"9446","02/04/2020",2,4,2020,0,0,"Seychelles","SC","SYC",96762
"9447","01/04/2020",1,4,2020,0,0,"Seychelles","SC","SYC",96762
"9448","31/03/2020",31,3,2020,2,0,"Seychelles","SC","SYC",96762
"9449","30/03/2020",30,3,2020,1,0,"Seychelles","SC","SYC",96762
"9450","29/03/2020",29,3,2020,0,0,"Seychelles","SC","SYC",96762
"9451","28/03/2020",28,3,2020,0,0,"Seychelles","SC","SYC",96762
"9452","27/03/2020",27,3,2020,0,0,"Seychelles","SC","SYC",96762
"9453","26/03/2020",26,3,2020,0,0,"Seychelles","SC","SYC",96762
"9454","25/03/2020",25,3,2020,0,0,"Seychelles","SC","SYC",96762
"9455","24/03/2020",24,3,2020,0,0,"Seychelles","SC","SYC",96762
"9456","23/03/2020",23,3,2020,0,0,"Seychelles","SC","SYC",96762
"9457","22/03/2020",22,3,2020,0,0,"Seychelles","SC","SYC",96762
"9458","21/03/2020",21,3,2020,1,0,"Seychelles","SC","SYC",96762
"9459","20/03/2020",20,3,2020,0,0,"Seychelles","SC","SYC",96762
"9460","19/03/2020",19,3,2020,2,0,"Seychelles","SC","SYC",96762
"9461","18/03/2020",18,3,2020,0,0,"Seychelles","SC","SYC",96762
"9462","17/03/2020",17,3,2020,1,0,"Seychelles","SC","SYC",96762
"9463","16/03/2020",16,3,2020,1,0,"Seychelles","SC","SYC",96762
"9464","15/03/2020",15,3,2020,2,0,"Seychelles","SC","SYC",96762
