"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2018"
"9465","18/04/2020",18,4,2020,11,0,"Sierra_Leone","SL","SLE",7650154
"9466","17/04/2020",17,4,2020,2,0,"Sierra_Leone","SL","SLE",7650154
"9467","16/04/2020",16,4,2020,2,0,"Sierra_Leone","SL","SLE",7650154
"9468","15/04/2020",15,4,2020,0,0,"Sierra_Leone","SL","SLE",7650154
"9469","14/04/2020",14,4,2020,1,0,"Sierra_Leone","SL","SLE",7650154
"9470","13/04/2020",13,4,2020,0,0,"Sierra_Leone","SL","SLE",7650154
"9471","12/04/2020",12,4,2020,2,0,"Sierra_Leone","SL","SLE",7650154
"9472","11/04/2020",11,4,2020,1,0,"Sierra_Leone","SL","SLE",7650154
"9473","10/04/2020",10,4,2020,0,0,"Sierra_Leone","SL","SLE",7650154
"9474","09/04/2020",9,4,2020,1,0,"Sierra_Leone","SL","SLE",7650154
"9475","08/04/2020",8,4,2020,0,0,"Sierra_Leone","SL","SLE",7650154
"9476","07/04/2020",7,4,2020,0,0,"Sierra_Leone","SL","SLE",7650154
"9477","06/04/2020",6,4,2020,2,0,"Sierra_Leone","SL","SLE",7650154
"9478","05/04/2020",5,4,2020,2,0,"Sierra_Leone","SL","SLE",7650154
"9479","04/04/2020",4,4,2020,0,0,"Sierra_Leone","SL","SLE",7650154
"9480","03/04/2020",3,4,2020,1,0,"Sierra_Leone","SL","SLE",7650154
"9481","02/04/2020",2,4,2020,0,0,"Sierra_Leone","SL","SLE",7650154
"9482","01/04/2020",1,4,2020,1,0,"Sierra_Leone","SL","SLE",7650154
