"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2018"
"9593","18/04/2020",18,4,2020,0,0,"Sint Maarten","SX","SXM",41486
"9594","17/04/2020",17,4,2020,0,0,"Sint Maarten","SX","SXM",41486
"9595","16/04/2020",16,4,2020,5,0,"Sint Maarten","SX","SXM",41486
"9596","15/04/2020",15,4,2020,0,0,"Sint Maarten","SX","SXM",41486
"9597","14/04/2020",14,4,2020,2,0,"Sint Maarten","SX","SXM",41486
"9598","13/04/2020",13,4,2020,0,0,"Sint Maarten","SX","SXM",41486
"9599","12/04/2020",12,4,2020,0,0,"Sint Maarten","SX","SXM",41486
"9600","11/04/2020",11,4,2020,0,1,"Sint Maarten","SX","SXM",41486
"9601","10/04/2020",10,4,2020,10,0,"Sint Maarten","SX","SXM",41486
"9602","09/04/2020",9,4,2020,0,0,"Sint Maarten","SX","SXM",41486
"9603","08/04/2020",8,4,2020,15,4,"Sint Maarten","SX","SXM",41486
"9604","07/04/2020",7,4,2020,0,0,"Sint Maarten","SX","SXM",41486
"9605","06/04/2020",6,4,2020,2,2,"Sint Maarten","SX","SXM",41486
"9606","05/04/2020",5,4,2020,0,0,"Sint Maarten","SX","SXM",41486
"9607","04/04/2020",4,4,2020,0,0,"Sint Maarten","SX","SXM",41486
"9608","03/04/2020",3,4,2020,7,1,"Sint Maarten","SX","SXM",41486
"9609","02/04/2020",2,4,2020,10,1,"Sint Maarten","SX","SXM",41486
"9610","01/04/2020",1,4,2020,3,0,"Sint Maarten","SX","SXM",41486
"9611","30/03/2020",30,3,2020,0,0,"Sint Maarten","SX","SXM",41486
"9612","29/03/2020",29,3,2020,0,0,"Sint Maarten","SX","SXM",41486
"9613","28/03/2020",28,3,2020,1,0,"Sint Maarten","SX","SXM",41486
"9614","27/03/2020",27,3,2020,0,0,"Sint Maarten","SX","SXM",41486
"9615","26/03/2020",26,3,2020,1,0,"Sint Maarten","SX","SXM",41486
"9616","03/03/2020",3,3,2020,1,0,"Sint Maarten","SX","SXM",41486
