"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2018"
"9736","18/04/2020",18,4,2020,178,2,"South Africa","ZA","ZAF",57779622
"9737","17/04/2020",17,4,2020,99,14,"South Africa","ZA","ZAF",57779622
"9738","16/04/2020",16,4,2020,91,7,"South Africa","ZA","ZAF",57779622
"9739","15/04/2020",15,4,2020,143,0,"South Africa","ZA","ZAF",57779622
"9740","14/04/2020",14,4,2020,99,2,"South Africa","ZA","ZAF",57779622
"9741","13/04/2020",13,4,2020,145,0,"South Africa","ZA","ZAF",57779622
"9742","12/04/2020",12,4,2020,25,1,"South Africa","ZA","ZAF",57779622
"9743","11/04/2020",11,4,2020,69,6,"South Africa","ZA","ZAF",57779622
"9744","10/04/2020",10,4,2020,89,0,"South Africa","ZA","ZAF",57779622
"9745","09/04/2020",9,4,2020,96,5,"South Africa","ZA","ZAF",57779622
"9746","08/04/2020",8,4,2020,63,1,"South Africa","ZA","ZAF",57779622
"9747","07/04/2020",7,4,2020,31,1,"South Africa","ZA","ZAF",57779622
"9748","06/04/2020",6,4,2020,70,2,"South Africa","ZA","ZAF",57779622
"9749","05/04/2020",5,4,2020,80,2,"South Africa","ZA","ZAF",57779622
"9750","04/04/2020",4,4,2020,43,2,"South Africa","ZA","ZAF",57779622
"9751","03/04/2020",3,4,2020,82,0,"South Africa","ZA","ZAF",57779622
"9752","02/04/2020",2,4,2020,27,0,"South Africa","ZA","ZAF",57779622
"9753","01/04/2020",1,4,2020,27,2,"South Africa","ZA","ZAF",57779622
"9754","31/03/2020",31,3,2020,46,1,"South Africa","ZA","ZAF",57779622
"9755","30/03/2020",30,3,2020,93,0,"South Africa","ZA","ZAF",57779622
"9756","29/03/2020",29,3,2020,17,0,"South Africa","ZA","ZAF",57779622
"9757","28/03/2020",28,3,2020,243,0,"South Africa","ZA","ZAF",57779622
"9758","27/03/2020",27,3,2020,218,2,"South Africa","ZA","ZAF",57779622
"9759","26/03/2020",26,3,2020,152,0,"South Africa","ZA","ZAF",57779622
"9760","25/03/2020",25,3,2020,155,0,"South Africa","ZA","ZAF",57779622
"9761","24/03/2020",24,3,2020,128,0,"South Africa","ZA","ZAF",57779622
"9762","23/03/2020",23,3,2020,34,0,"South Africa","ZA","ZAF",57779622
"9763","22/03/2020",22,3,2020,35,0,"South Africa","ZA","ZAF",57779622
"9764","21/03/2020",21,3,2020,55,0,"South Africa","ZA","ZAF",57779622
"9765","20/03/2020",20,3,2020,34,0,"South Africa","ZA","ZAF",57779622
"9766","19/03/2020",19,3,2020,31,0,"South Africa","ZA","ZAF",57779622
"9767","18/03/2020",18,3,2020,23,0,"South Africa","ZA","ZAF",57779622
"9768","17/03/2020",17,3,2020,11,0,"South Africa","ZA","ZAF",57779622
"9769","16/03/2020",16,3,2020,27,0,"South Africa","ZA","ZAF",57779622
"9770","15/03/2020",15,3,2020,0,0,"South Africa","ZA","ZAF",57779622
"9771","14/03/2020",14,3,2020,7,0,"South Africa","ZA","ZAF",57779622
"9772","13/03/2020",13,3,2020,4,0,"South Africa","ZA","ZAF",57779622
"9773","12/03/2020",12,3,2020,6,0,"South Africa","ZA","ZAF",57779622
"9774","10/03/2020",10,3,2020,4,0,"South Africa","ZA","ZAF",57779622
"9775","09/03/2020",9,3,2020,1,0,"South Africa","ZA","ZAF",57779622
"9776","08/03/2020",8,3,2020,1,0,"South Africa","ZA","ZAF",57779622
"9777","06/03/2020",6,3,2020,1,0,"South Africa","ZA","ZAF",57779622
