"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2018"
"9778","18/04/2020",18,4,2020,18,2,"South Korea","KR","KOR",51635256
"9779","17/04/2020",17,4,2020,22,1,"South Korea","KR","KOR",51635256
"9780","16/04/2020",16,4,2020,22,4,"South Korea","KR","KOR",51635256
"9781","15/04/2020",15,4,2020,27,3,"South Korea","KR","KOR",51635256
"9782","14/04/2020",14,4,2020,27,5,"South Korea","KR","KOR",51635256
"9783","13/04/2020",13,4,2020,25,3,"South Korea","KR","KOR",51635256
"9784","12/04/2020",12,4,2020,62,6,"South Korea","KR","KOR",51635256
"9785","11/04/2020",11,4,2020,0,0,"South Korea","KR","KOR",51635256
"9786","10/04/2020",10,4,2020,27,4,"South Korea","KR","KOR",51635256
"9787","09/04/2020",9,4,2020,39,4,"South Korea","KR","KOR",51635256
"9788","08/04/2020",8,4,2020,53,8,"South Korea","KR","KOR",51635256
"9789","07/04/2020",7,4,2020,47,6,"South Korea","KR","KOR",51635256
"9790","06/04/2020",6,4,2020,47,3,"South Korea","KR","KOR",51635256
"9791","05/04/2020",5,4,2020,81,6,"South Korea","KR","KOR",51635256
"9792","04/04/2020",4,4,2020,94,3,"South Korea","KR","KOR",51635256
"9793","03/04/2020",3,4,2020,86,5,"South Korea","KR","KOR",51635256
"9794","02/04/2020",2,4,2020,190,6,"South Korea","KR","KOR",51635256
"9795","01/04/2020",1,4,2020,0,0,"South Korea","KR","KOR",51635256
"9796","31/03/2020",31,3,2020,125,5,"South Korea","KR","KOR",51635256
"9797","30/03/2020",30,3,2020,78,6,"South Korea","KR","KOR",51635256
"9798","29/03/2020",29,3,2020,105,8,"South Korea","KR","KOR",51635256
"9799","28/03/2020",28,3,2020,146,5,"South Korea","KR","KOR",51635256
"9800","27/03/2020",27,3,2020,91,8,"South Korea","KR","KOR",51635256
"9801","26/03/2020",26,3,2020,104,5,"South Korea","KR","KOR",51635256
"9802","25/03/2020",25,3,2020,100,6,"South Korea","KR","KOR",51635256
"9803","24/03/2020",24,3,2020,76,7,"South Korea","KR","KOR",51635256
"9804","23/03/2020",23,3,2020,64,9,"South Korea","KR","KOR",51635256
"9805","22/03/2020",22,3,2020,98,1,"South Korea","KR","KOR",51635256
"9806","21/03/2020",21,3,2020,147,3,"South Korea","KR","KOR",51635256
"9807","20/03/2020",20,3,2020,87,9,"South Korea","KR","KOR",51635256
"9808","19/03/2020",19,3,2020,152,5,"South Korea","KR","KOR",51635256
"9809","18/03/2020",18,3,2020,93,5,"South Korea","KR","KOR",51635256
"9810","17/03/2020",17,3,2020,84,6,"South Korea","KR","KOR",51635256
"9811","16/03/2020",16,3,2020,74,0,"South Korea","KR","KOR",51635256
"9812","15/03/2020",15,3,2020,76,3,"South Korea","KR","KOR",51635256
"9813","14/03/2020",14,3,2020,107,5,"South Korea","KR","KOR",51635256
"9814","13/03/2020",13,3,2020,110,1,"South Korea","KR","KOR",51635256
"9815","12/03/2020",12,3,2020,114,6,"South Korea","KR","KOR",51635256
"9816","11/03/2020",11,3,2020,242,6,"South Korea","KR","KOR",51635256
"9817","10/03/2020",10,3,2020,131,3,"South Korea","KR","KOR",51635256
"9818","09/03/2020",9,3,2020,248,1,"South Korea","KR","KOR",51635256
"9819","08/03/2020",8,3,2020,367,6,"South Korea","KR","KOR",51635256
"9820","07/03/2020",7,3,2020,483,2,"South Korea","KR","KOR",51635256
"9821","06/03/2020",6,3,2020,518,7,"South Korea","KR","KOR",51635256
"9822","05/03/2020",5,3,2020,438,3,"South Korea","KR","KOR",51635256
"9823","04/03/2020",4,3,2020,516,4,"South Korea","KR","KOR",51635256
"9824","03/03/2020",3,3,2020,600,6,"South Korea","KR","KOR",51635256
"9825","02/03/2020",2,3,2020,686,5,"South Korea","KR","KOR",51635256
"9826","01/03/2020",1,3,2020,595,1,"South Korea","KR","KOR",51635256
"9827","29/02/2020",29,2,2020,909,3,"South Korea","KR","KOR",51635256
"9828","28/02/2020",28,2,2020,427,1,"South Korea","KR","KOR",51635256
"9829","27/02/2020",27,2,2020,449,1,"South Korea","KR","KOR",51635256
"9830","26/02/2020",26,2,2020,254,3,"South Korea","KR","KOR",51635256
"9831","25/02/2020",25,2,2020,130,1,"South Korea","KR","KOR",51635256
"9832","24/02/2020",24,2,2020,161,2,"South Korea","KR","KOR",51635256
"9833","23/02/2020",23,2,2020,256,3,"South Korea","KR","KOR",51635256
"9834","22/02/2020",22,2,2020,190,1,"South Korea","KR","KOR",51635256
"9835","21/02/2020",21,2,2020,75,1,"South Korea","KR","KOR",51635256
"9836","20/02/2020",20,2,2020,34,0,"South Korea","KR","KOR",51635256
"9837","19/02/2020",19,2,2020,15,0,"South Korea","KR","KOR",51635256
"9838","18/02/2020",18,2,2020,1,0,"South Korea","KR","KOR",51635256
"9839","17/02/2020",17,2,2020,1,0,"South Korea","KR","KOR",51635256
"9840","16/02/2020",16,2,2020,1,0,"South Korea","KR","KOR",51635256
"9841","15/02/2020",15,2,2020,0,0,"South Korea","KR","KOR",51635256
"9842","14/02/2020",14,2,2020,0,0,"South Korea","KR","KOR",51635256
"9843","13/02/2020",13,2,2020,0,0,"South Korea","KR","KOR",51635256
"9844","12/02/2020",12,2,2020,0,0,"South Korea","KR","KOR",51635256
"9845","11/02/2020",11,2,2020,1,0,"South Korea","KR","KOR",51635256
"9846","10/02/2020",10,2,2020,2,0,"South Korea","KR","KOR",51635256
