"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2018"
"10112","18/04/2020",18,4,2020,0,0,"Sudan","SD","SDN",41801533
"10113","17/04/2020",17,4,2020,0,0,"Sudan","SD","SDN",41801533
"10114","16/04/2020",16,4,2020,0,0,"Sudan","SD","SDN",41801533
"10115","15/04/2020",15,4,2020,3,1,"Sudan","SD","SDN",41801533
"10116","14/04/2020",14,4,2020,10,2,"Sudan","SD","SDN",41801533
"10117","13/04/2020",13,4,2020,0,0,"Sudan","SD","SDN",41801533
"10118","12/04/2020",12,4,2020,4,0,"Sudan","SD","SDN",41801533
"10119","11/04/2020",11,4,2020,1,0,"Sudan","SD","SDN",41801533
"10120","10/04/2020",10,4,2020,0,0,"Sudan","SD","SDN",41801533
"10121","09/04/2020",9,4,2020,0,0,"Sudan","SD","SDN",41801533
"10122","08/04/2020",8,4,2020,2,0,"Sudan","SD","SDN",41801533
"10123","07/04/2020",7,4,2020,0,0,"Sudan","SD","SDN",41801533
"10124","06/04/2020",6,4,2020,2,0,"Sudan","SD","SDN",41801533
"10125","05/04/2020",5,4,2020,3,0,"Sudan","SD","SDN",41801533
"10126","04/04/2020",4,4,2020,0,0,"Sudan","SD","SDN",41801533
"10127","03/04/2020",3,4,2020,0,0,"Sudan","SD","SDN",41801533
"10128","02/04/2020",2,4,2020,0,0,"Sudan","SD","SDN",41801533
"10129","01/04/2020",1,4,2020,1,0,"Sudan","SD","SDN",41801533
"10130","31/03/2020",31,3,2020,1,1,"Sudan","SD","SDN",41801533
"10131","30/03/2020",30,3,2020,0,0,"Sudan","SD","SDN",41801533
"10132","29/03/2020",29,3,2020,2,0,"Sudan","SD","SDN",41801533
"10133","28/03/2020",28,3,2020,0,0,"Sudan","SD","SDN",41801533
"10134","27/03/2020",27,3,2020,0,0,"Sudan","SD","SDN",41801533
"10135","26/03/2020",26,3,2020,0,0,"Sudan","SD","SDN",41801533
"10136","25/03/2020",25,3,2020,1,0,"Sudan","SD","SDN",41801533
"10137","24/03/2020",24,3,2020,0,0,"Sudan","SD","SDN",41801533
"10138","23/03/2020",23,3,2020,0,0,"Sudan","SD","SDN",41801533
"10139","22/03/2020",22,3,2020,0,0,"Sudan","SD","SDN",41801533
"10140","21/03/2020",21,3,2020,0,0,"Sudan","SD","SDN",41801533
"10141","20/03/2020",20,3,2020,0,0,"Sudan","SD","SDN",41801533
"10142","19/03/2020",19,3,2020,1,0,"Sudan","SD","SDN",41801533
"10143","18/03/2020",18,3,2020,0,0,"Sudan","SD","SDN",41801533
"10144","17/03/2020",17,3,2020,0,0,"Sudan","SD","SDN",41801533
"10145","16/03/2020",16,3,2020,0,0,"Sudan","SD","SDN",41801533
"10146","15/03/2020",15,3,2020,0,1,"Sudan","SD","SDN",41801533
"10147","14/03/2020",14,3,2020,1,0,"Sudan","SD","SDN",41801533
