"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2018"
"10178","18/04/2020",18,4,2020,676,67,"Sweden","SE","SWE",10183175
"10179","17/04/2020",17,4,2020,613,130,"Sweden","SE","SWE",10183175
"10180","16/04/2020",16,4,2020,482,170,"Sweden","SE","SWE",10183175
"10181","15/04/2020",15,4,2020,497,114,"Sweden","SE","SWE",10183175
"10182","14/04/2020",14,4,2020,465,20,"Sweden","SE","SWE",10183175
"10183","13/04/2020",13,4,2020,332,12,"Sweden","SE","SWE",10183175
"10184","12/04/2020",12,4,2020,466,17,"Sweden","SE","SWE",10183175
"10185","11/04/2020",11,4,2020,544,77,"Sweden","SE","SWE",10183175
"10186","10/04/2020",10,4,2020,722,106,"Sweden","SE","SWE",10183175
"10187","09/04/2020",9,4,2020,726,96,"Sweden","SE","SWE",10183175
"10188","08/04/2020",8,4,2020,487,114,"Sweden","SE","SWE",10183175
"10189","07/04/2020",7,4,2020,376,76,"Sweden","SE","SWE",10183175
"10190","06/04/2020",6,4,2020,387,28,"Sweden","SE","SWE",10183175
"10191","05/04/2020",5,4,2020,365,40,"Sweden","SE","SWE",10183175
"10192","04/04/2020",4,4,2020,612,51,"Sweden","SE","SWE",10183175
"10193","03/04/2020",3,4,2020,519,43,"Sweden","SE","SWE",10183175
"10194","02/04/2020",2,4,2020,512,59,"Sweden","SE","SWE",10183175
"10195","01/04/2020",1,4,2020,407,34,"Sweden","SE","SWE",10183175
"10196","31/03/2020",31,3,2020,328,36,"Sweden","SE","SWE",10183175
"10197","30/03/2020",30,3,2020,253,8,"Sweden","SE","SWE",10183175
"10198","29/03/2020",29,3,2020,401,10,"Sweden","SE","SWE",10183175
"10199","28/03/2020",28,3,2020,240,26,"Sweden","SE","SWE",10183175
"10200","27/03/2020",27,3,2020,296,24,"Sweden","SE","SWE",10183175
"10201","26/03/2020",26,3,2020,238,6,"Sweden","SE","SWE",10183175
"10202","25/03/2020",25,3,2020,256,11,"Sweden","SE","SWE",10183175
"10203","24/03/2020",24,3,2020,110,4,"Sweden","SE","SWE",10183175
"10204","23/03/2020",23,3,2020,160,1,"Sweden","SE","SWE",10183175
"10205","22/03/2020",22,3,2020,123,4,"Sweden","SE","SWE",10183175
"10206","21/03/2020",21,3,2020,200,6,"Sweden","SE","SWE",10183175
"10207","20/03/2020",20,3,2020,122,0,"Sweden","SE","SWE",10183175
"10208","19/03/2020",19,3,2020,134,2,"Sweden","SE","SWE",10183175
"10209","18/03/2020",18,3,2020,46,1,"Sweden","SE","SWE",10183175
"10210","17/03/2020",17,3,2020,89,4,"Sweden","SE","SWE",10183175
"10211","16/03/2020",16,3,2020,108,2,"Sweden","SE","SWE",10183175
"10212","15/03/2020",15,3,2020,149,0,"Sweden","SE","SWE",10183175
"10213","14/03/2020",14,3,2020,155,0,"Sweden","SE","SWE",10183175
"10214","13/03/2020",13,3,2020,158,0,"Sweden","SE","SWE",10183175
