"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2018"
"10288","18/04/2020",18,4,2020,346,42,"Switzerland","CH","CHE",8516543
"10289","17/04/2020",17,4,2020,315,43,"Switzerland","CH","CHE",8516543
"10290","16/04/2020",16,4,2020,583,73,"Switzerland","CH","CHE",8516543
"10291","15/04/2020",15,4,2020,254,42,"Switzerland","CH","CHE",8516543
"10292","14/04/2020",14,4,2020,279,0,"Switzerland","CH","CHE",8516543
"10293","13/04/2020",13,4,2020,400,27,"Switzerland","CH","CHE",8516543
"10294","12/04/2020",12,4,2020,592,26,"Switzerland","CH","CHE",8516543
"10295","11/04/2020",11,4,2020,733,49,"Switzerland","CH","CHE",8516543
"10296","10/04/2020",10,4,2020,785,51,"Switzerland","CH","CHE",8516543
"10297","09/04/2020",9,4,2020,546,64,"Switzerland","CH","CHE",8516543
"10298","08/04/2020",8,4,2020,590,57,"Switzerland","CH","CHE",8516543
"10299","07/04/2020",7,4,2020,552,25,"Switzerland","CH","CHE",8516543
"10300","06/04/2020",6,4,2020,821,19,"Switzerland","CH","CHE",8516543
"10301","05/04/2020",5,4,2020,974,56,"Switzerland","CH","CHE",8516543
"10302","04/04/2020",4,4,2020,1033,52,"Switzerland","CH","CHE",8516543
"10303","03/04/2020",3,4,2020,1124,54,"Switzerland","CH","CHE",8516543
"10304","02/04/2020",2,4,2020,962,5,"Switzerland","CH","CHE",8516543
"10305","01/04/2020",1,4,2020,696,78,"Switzerland","CH","CHE",8516543
"10306","31/03/2020",31,3,2020,1138,38,"Switzerland","CH","CHE",8516543
"10307","30/03/2020",30,3,2020,1122,22,"Switzerland","CH","CHE",8516543
"10308","29/03/2020",29,3,2020,1048,38,"Switzerland","CH","CHE",8516543
"10309","28/03/2020",28,3,2020,1390,36,"Switzerland","CH","CHE",8516543
"10310","27/03/2020",27,3,2020,1000,58,"Switzerland","CH","CHE",8516543
"10311","26/03/2020",26,3,2020,925,17,"Switzerland","CH","CHE",8516543
"10312","25/03/2020",25,3,2020,774,20,"Switzerland","CH","CHE",8516543
"10313","24/03/2020",24,3,2020,1044,6,"Switzerland","CH","CHE",8516543
"10314","23/03/2020",23,3,2020,894,4,"Switzerland","CH","CHE",8516543
"10315","22/03/2020",22,3,2020,1237,13,"Switzerland","CH","CHE",8516543
"10316","21/03/2020",21,3,2020,952,10,"Switzerland","CH","CHE",8516543
"10317","20/03/2020",20,3,2020,878,12,"Switzerland","CH","CHE",8516543
"10318","19/03/2020",19,3,2020,360,2,"Switzerland","CH","CHE",8516543
"10319","18/03/2020",18,3,2020,450,5,"Switzerland","CH","CHE",8516543
"10320","17/03/2020",17,3,2020,0,1,"Switzerland","CH","CHE",8516543
"10321","16/03/2020",16,3,2020,841,2,"Switzerland","CH","CHE",8516543
"10322","15/03/2020",15,3,2020,238,4,"Switzerland","CH","CHE",8516543
"10323","14/03/2020",14,3,2020,267,3,"Switzerland","CH","CHE",8516543
"10324","13/03/2020",13,3,2020,212,0,"Switzerland","CH","CHE",8516543
"10325","12/03/2020",12,3,2020,152,1,"Switzerland","CH","CHE",8516543
"10326","11/03/2020",11,3,2020,116,1,"Switzerland","CH","CHE",8516543
"10327","10/03/2020",10,3,2020,42,0,"Switzerland","CH","CHE",8516543
"10328","09/03/2020",9,3,2020,68,1,"Switzerland","CH","CHE",8516543
"10329","08/03/2020",8,3,2020,55,0,"Switzerland","CH","CHE",8516543
"10330","07/03/2020",7,3,2020,122,0,"Switzerland","CH","CHE",8516543
"10331","06/03/2020",6,3,2020,30,1,"Switzerland","CH","CHE",8516543
"10332","05/03/2020",5,3,2020,20,0,"Switzerland","CH","CHE",8516543
"10333","04/03/2020",4,3,2020,7,0,"Switzerland","CH","CHE",8516543
"10334","03/03/2020",3,3,2020,6,0,"Switzerland","CH","CHE",8516543
"10335","02/03/2020",2,3,2020,6,0,"Switzerland","CH","CHE",8516543
"10336","01/03/2020",1,3,2020,6,0,"Switzerland","CH","CHE",8516543
"10337","29/02/2020",29,2,2020,4,0,"Switzerland","CH","CHE",8516543
"10338","28/02/2020",28,2,2020,7,0,"Switzerland","CH","CHE",8516543
"10339","27/02/2020",27,2,2020,0,0,"Switzerland","CH","CHE",8516543
"10340","26/02/2020",26,2,2020,1,0,"Switzerland","CH","CHE",8516543
"10341","25/02/2020",25,2,2020,0,0,"Switzerland","CH","CHE",8516543
"10342","24/02/2020",24,2,2020,0,0,"Switzerland","CH","CHE",8516543
"10343","23/02/2020",23,2,2020,0,0,"Switzerland","CH","CHE",8516543
"10344","22/02/2020",22,2,2020,0,0,"Switzerland","CH","CHE",8516543
"10345","21/02/2020",21,2,2020,0,0,"Switzerland","CH","CHE",8516543
"10346","20/02/2020",20,2,2020,0,0,"Switzerland","CH","CHE",8516543
"10347","19/02/2020",19,2,2020,0,0,"Switzerland","CH","CHE",8516543
"10348","18/02/2020",18,2,2020,0,0,"Switzerland","CH","CHE",8516543
"10349","17/02/2020",17,2,2020,0,0,"Switzerland","CH","CHE",8516543
"10350","16/02/2020",16,2,2020,0,0,"Switzerland","CH","CHE",8516543
"10351","15/02/2020",15,2,2020,0,0,"Switzerland","CH","CHE",8516543
"10352","14/02/2020",14,2,2020,0,0,"Switzerland","CH","CHE",8516543
"10353","13/02/2020",13,2,2020,0,0,"Switzerland","CH","CHE",8516543
"10354","12/02/2020",12,2,2020,0,0,"Switzerland","CH","CHE",8516543
"10355","11/02/2020",11,2,2020,0,0,"Switzerland","CH","CHE",8516543
"10356","10/02/2020",10,2,2020,0,0,"Switzerland","CH","CHE",8516543
"10357","09/02/2020",9,2,2020,0,0,"Switzerland","CH","CHE",8516543
"10358","08/02/2020",8,2,2020,0,0,"Switzerland","CH","CHE",8516543
"10359","07/02/2020",7,2,2020,0,0,"Switzerland","CH","CHE",8516543
"10360","06/02/2020",6,2,2020,0,0,"Switzerland","CH","CHE",8516543
"10361","05/02/2020",5,2,2020,0,0,"Switzerland","CH","CHE",8516543
"10362","04/02/2020",4,2,2020,0,0,"Switzerland","CH","CHE",8516543
"10363","03/02/2020",3,2,2020,0,0,"Switzerland","CH","CHE",8516543
"10364","02/02/2020",2,2,2020,0,0,"Switzerland","CH","CHE",8516543
"10365","01/02/2020",1,2,2020,0,0,"Switzerland","CH","CHE",8516543
"10366","31/01/2020",31,1,2020,0,0,"Switzerland","CH","CHE",8516543
"10367","30/01/2020",30,1,2020,0,0,"Switzerland","CH","CHE",8516543
"10368","29/01/2020",29,1,2020,0,0,"Switzerland","CH","CHE",8516543
"10369","28/01/2020",28,1,2020,0,0,"Switzerland","CH","CHE",8516543
"10370","27/01/2020",27,1,2020,0,0,"Switzerland","CH","CHE",8516543
"10371","26/01/2020",26,1,2020,0,0,"Switzerland","CH","CHE",8516543
