"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2018"
"10425","18/04/2020",18,4,2020,0,0,"Taiwan","TW","TWN",23780452
"10426","17/04/2020",17,4,2020,0,0,"Taiwan","TW","TWN",23780452
"10427","16/04/2020",16,4,2020,0,0,"Taiwan","TW","TWN",23780452
"10428","15/04/2020",15,4,2020,2,0,"Taiwan","TW","TWN",23780452
"10429","14/04/2020",14,4,2020,5,0,"Taiwan","TW","TWN",23780452
"10430","13/04/2020",13,4,2020,3,0,"Taiwan","TW","TWN",23780452
"10431","12/04/2020",12,4,2020,5,1,"Taiwan","TW","TWN",23780452
"10432","11/04/2020",11,4,2020,0,0,"Taiwan","TW","TWN",23780452
"10433","10/04/2020",10,4,2020,1,0,"Taiwan","TW","TWN",23780452
"10434","09/04/2020",9,4,2020,3,0,"Taiwan","TW","TWN",23780452
"10435","08/04/2020",8,4,2020,3,0,"Taiwan","TW","TWN",23780452
"10436","07/04/2020",7,4,2020,10,0,"Taiwan","TW","TWN",23780452
"10437","06/04/2020",6,4,2020,0,0,"Taiwan","TW","TWN",23780452
"10438","05/04/2020",5,4,2020,8,0,"Taiwan","TW","TWN",23780452
"10439","04/04/2020",4,4,2020,16,0,"Taiwan","TW","TWN",23780452
"10440","03/04/2020",3,4,2020,0,0,"Taiwan","TW","TWN",23780452
"10441","02/04/2020",2,4,2020,17,0,"Taiwan","TW","TWN",23780452
"10442","01/04/2020",1,4,2020,16,0,"Taiwan","TW","TWN",23780452
"10443","31/03/2020",31,3,2020,0,0,"Taiwan","TW","TWN",23780452
"10444","30/03/2020",30,3,2020,23,3,"Taiwan","TW","TWN",23780452
"10445","29/03/2020",29,3,2020,16,0,"Taiwan","TW","TWN",23780452
"10446","28/03/2020",28,3,2020,15,0,"Taiwan","TW","TWN",23780452
"10447","27/03/2020",27,3,2020,17,0,"Taiwan","TW","TWN",23780452
"10448","26/03/2020",26,3,2020,19,0,"Taiwan","TW","TWN",23780452
"10449","25/03/2020",25,3,2020,21,0,"Taiwan","TW","TWN",23780452
"10450","24/03/2020",24,3,2020,30,0,"Taiwan","TW","TWN",23780452
"10451","23/03/2020",23,3,2020,12,0,"Taiwan","TW","TWN",23780452
"10452","22/03/2020",22,3,2020,18,0,"Taiwan","TW","TWN",23780452
"10453","21/03/2020",21,3,2020,27,1,"Taiwan","TW","TWN",23780452
"10454","20/03/2020",20,3,2020,0,0,"Taiwan","TW","TWN",23780452
"10455","19/03/2020",19,3,2020,31,0,"Taiwan","TW","TWN",23780452
"10456","18/03/2020",18,3,2020,10,0,"Taiwan","TW","TWN",23780452
"10457","17/03/2020",17,3,2020,8,0,"Taiwan","TW","TWN",23780452
"10458","16/03/2020",16,3,2020,0,0,"Taiwan","TW","TWN",23780452
"10459","15/03/2020",15,3,2020,6,0,"Taiwan","TW","TWN",23780452
"10460","14/03/2020",14,3,2020,4,0,"Taiwan","TW","TWN",23780452
"10461","13/03/2020",13,3,2020,1,0,"Taiwan","TW","TWN",23780452
"10462","12/03/2020",12,3,2020,0,0,"Taiwan","TW","TWN",23780452
"10463","11/03/2020",11,3,2020,3,0,"Taiwan","TW","TWN",23780452
"10464","09/03/2020",9,3,2020,0,0,"Taiwan","TW","TWN",23780452
"10465","08/03/2020",8,3,2020,0,0,"Taiwan","TW","TWN",23780452
"10466","07/03/2020",7,3,2020,1,0,"Taiwan","TW","TWN",23780452
"10467","06/03/2020",6,3,2020,2,0,"Taiwan","TW","TWN",23780452
"10468","04/03/2020",4,3,2020,1,0,"Taiwan","TW","TWN",23780452
"10469","03/03/2020",3,3,2020,1,0,"Taiwan","TW","TWN",23780452
"10470","02/03/2020",2,3,2020,0,0,"Taiwan","TW","TWN",23780452
"10471","01/03/2020",1,3,2020,1,0,"Taiwan","TW","TWN",23780452
"10472","29/02/2020",29,2,2020,5,0,"Taiwan","TW","TWN",23780452
"10473","28/02/2020",28,2,2020,2,0,"Taiwan","TW","TWN",23780452
"10474","27/02/2020",27,2,2020,1,0,"Taiwan","TW","TWN",23780452
"10475","26/02/2020",26,2,2020,1,0,"Taiwan","TW","TWN",23780452
"10476","25/02/2020",25,2,2020,2,0,"Taiwan","TW","TWN",23780452
"10477","24/02/2020",24,2,2020,2,0,"Taiwan","TW","TWN",23780452
"10478","23/02/2020",23,2,2020,0,0,"Taiwan","TW","TWN",23780452
"10479","22/02/2020",22,2,2020,2,0,"Taiwan","TW","TWN",23780452
"10480","21/02/2020",21,2,2020,0,0,"Taiwan","TW","TWN",23780452
"10481","20/02/2020",20,2,2020,2,0,"Taiwan","TW","TWN",23780452
"10482","19/02/2020",19,2,2020,0,0,"Taiwan","TW","TWN",23780452
"10483","18/02/2020",18,2,2020,2,0,"Taiwan","TW","TWN",23780452
"10484","17/02/2020",17,2,2020,2,1,"Taiwan","TW","TWN",23780452
"10485","16/02/2020",16,2,2020,0,0,"Taiwan","TW","TWN",23780452
"10486","15/02/2020",15,2,2020,0,0,"Taiwan","TW","TWN",23780452
"10487","14/02/2020",14,2,2020,0,0,"Taiwan","TW","TWN",23780452
"10488","13/02/2020",13,2,2020,0,0,"Taiwan","TW","TWN",23780452
"10489","12/02/2020",12,2,2020,0,0,"Taiwan","TW","TWN",23780452
"10490","11/02/2020",11,2,2020,0,0,"Taiwan","TW","TWN",23780452
"10491","10/02/2020",10,2,2020,0,0,"Taiwan","TW","TWN",23780452
"10492","09/02/2020",9,2,2020,1,0,"Taiwan","TW","TWN",23780452
"10493","08/02/2020",8,2,2020,1,0,"Taiwan","TW","TWN",23780452
"10494","07/02/2020",7,2,2020,5,0,"Taiwan","TW","TWN",23780452
"10495","06/02/2020",6,2,2020,0,0,"Taiwan","TW","TWN",23780452
"10496","05/02/2020",5,2,2020,1,0,"Taiwan","TW","TWN",23780452
"10497","04/02/2020",4,2,2020,0,0,"Taiwan","TW","TWN",23780452
"10498","03/02/2020",3,2,2020,0,0,"Taiwan","TW","TWN",23780452
"10499","02/02/2020",2,2,2020,0,0,"Taiwan","TW","TWN",23780452
"10500","01/02/2020",1,2,2020,1,0,"Taiwan","TW","TWN",23780452
"10501","31/01/2020",31,1,2020,1,0,"Taiwan","TW","TWN",23780452
"10502","30/01/2020",30,1,2020,0,0,"Taiwan","TW","TWN",23780452
"10503","29/01/2020",29,1,2020,1,0,"Taiwan","TW","TWN",23780452
"10504","28/01/2020",28,1,2020,2,0,"Taiwan","TW","TWN",23780452
"10505","27/01/2020",27,1,2020,2,0,"Taiwan","TW","TWN",23780452
"10506","26/01/2020",26,1,2020,0,0,"Taiwan","TW","TWN",23780452
"10507","25/01/2020",25,1,2020,2,0,"Taiwan","TW","TWN",23780452
"10508","24/01/2020",24,1,2020,0,0,"Taiwan","TW","TWN",23780452
"10509","23/01/2020",23,1,2020,0,0,"Taiwan","TW","TWN",23780452
"10510","22/01/2020",22,1,2020,0,0,"Taiwan","TW","TWN",23780452
"10511","21/01/2020",21,1,2020,1,0,"Taiwan","TW","TWN",23780452
"10512","20/01/2020",20,1,2020,0,0,"Taiwan","TW","TWN",23780452
"10513","19/01/2020",19,1,2020,0,0,"Taiwan","TW","TWN",23780452
"10514","18/01/2020",18,1,2020,0,0,"Taiwan","TW","TWN",23780452
"10515","17/01/2020",17,1,2020,0,0,"Taiwan","TW","TWN",23780452
"10516","16/01/2020",16,1,2020,0,0,"Taiwan","TW","TWN",23780452
"10517","15/01/2020",15,1,2020,0,0,"Taiwan","TW","TWN",23780452
"10518","14/01/2020",14,1,2020,0,0,"Taiwan","TW","TWN",23780452
"10519","13/01/2020",13,1,2020,0,0,"Taiwan","TW","TWN",23780452
"10520","12/01/2020",12,1,2020,0,0,"Taiwan","TW","TWN",23780452
"10521","11/01/2020",11,1,2020,0,0,"Taiwan","TW","TWN",23780452
"10522","10/01/2020",10,1,2020,0,0,"Taiwan","TW","TWN",23780452
"10523","09/01/2020",9,1,2020,0,0,"Taiwan","TW","TWN",23780452
"10524","08/01/2020",8,1,2020,0,0,"Taiwan","TW","TWN",23780452
"10525","07/01/2020",7,1,2020,0,0,"Taiwan","TW","TWN",23780452
"10526","06/01/2020",6,1,2020,0,0,"Taiwan","TW","TWN",23780452
"10527","05/01/2020",5,1,2020,0,0,"Taiwan","TW","TWN",23780452
"10528","04/01/2020",4,1,2020,0,0,"Taiwan","TW","TWN",23780452
"10529","03/01/2020",3,1,2020,0,0,"Taiwan","TW","TWN",23780452
"10530","02/01/2020",2,1,2020,0,0,"Taiwan","TW","TWN",23780452
"10531","01/01/2020",1,1,2020,0,0,"Taiwan","TW","TWN",23780452
"10532","31/12/2019",31,12,2019,0,0,"Taiwan","TW","TWN",23780452
