"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2018"
"10778","18/04/2020",18,4,2020,4353,126,"Turkey","TR","TUR",82319724
"10779","17/04/2020",17,4,2020,4801,125,"Turkey","TR","TUR",82319724
"10780","16/04/2020",16,4,2020,4281,115,"Turkey","TR","TUR",82319724
"10781","15/04/2020",15,4,2020,4062,107,"Turkey","TR","TUR",82319724
"10782","14/04/2020",14,4,2020,4093,98,"Turkey","TR","TUR",82319724
"10783","13/04/2020",13,4,2020,4789,97,"Turkey","TR","TUR",82319724
"10784","12/04/2020",12,4,2020,5138,95,"Turkey","TR","TUR",82319724
"10785","11/04/2020",11,4,2020,4747,98,"Turkey","TR","TUR",82319724
"10786","10/04/2020",10,4,2020,4056,96,"Turkey","TR","TUR",82319724
"10787","09/04/2020",9,4,2020,4117,87,"Turkey","TR","TUR",82319724
"10788","08/04/2020",8,4,2020,3892,76,"Turkey","TR","TUR",82319724
"10789","07/04/2020",7,4,2020,3148,75,"Turkey","TR","TUR",82319724
"10790","06/04/2020",6,4,2020,3135,73,"Turkey","TR","TUR",82319724
"10791","05/04/2020",5,4,2020,3013,76,"Turkey","TR","TUR",82319724
"10792","04/04/2020",4,4,2020,2786,69,"Turkey","TR","TUR",82319724
"10793","03/04/2020",3,4,2020,2456,79,"Turkey","TR","TUR",82319724
"10794","02/04/2020",2,4,2020,2148,63,"Turkey","TR","TUR",82319724
"10795","01/04/2020",1,4,2020,2704,46,"Turkey","TR","TUR",82319724
"10796","31/03/2020",31,3,2020,1610,37,"Turkey","TR","TUR",82319724
"10797","30/03/2020",30,3,2020,1815,23,"Turkey","TR","TUR",82319724
"10798","29/03/2020",29,3,2020,1704,16,"Turkey","TR","TUR",82319724
"10799","28/03/2020",28,3,2020,2069,17,"Turkey","TR","TUR",82319724
"10800","27/03/2020",27,3,2020,1196,16,"Turkey","TR","TUR",82319724
"10801","26/03/2020",26,3,2020,561,15,"Turkey","TR","TUR",82319724
"10802","25/03/2020",25,3,2020,343,7,"Turkey","TR","TUR",82319724
"10803","24/03/2020",24,3,2020,293,7,"Turkey","TR","TUR",82319724
"10804","23/03/2020",23,3,2020,289,9,"Turkey","TR","TUR",82319724
"10805","22/03/2020",22,3,2020,277,12,"Turkey","TR","TUR",82319724
"10806","21/03/2020",21,3,2020,311,5,"Turkey","TR","TUR",82319724
"10807","20/03/2020",20,3,2020,168,3,"Turkey","TR","TUR",82319724
"10808","19/03/2020",19,3,2020,93,1,"Turkey","TR","TUR",82319724
"10809","18/03/2020",18,3,2020,51,0,"Turkey","TR","TUR",82319724
"10810","17/03/2020",17,3,2020,29,0,"Turkey","TR","TUR",82319724
"10811","16/03/2020",16,3,2020,16,0,"Turkey","TR","TUR",82319724
"10812","13/03/2020",13,3,2020,1,0,"Turkey","TR","TUR",82319724
"10813","12/03/2020",12,3,2020,1,0,"Turkey","TR","TUR",82319724
