"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2018"
"10903","18/04/2020",18,4,2020,0,2,"United Arab Emirates","AE","ARE",9630959
"10904","17/04/2020",17,4,2020,460,0,"United Arab Emirates","AE","ARE",9630959
"10905","16/04/2020",16,4,2020,432,5,"United Arab Emirates","AE","ARE",9630959
"10906","15/04/2020",15,4,2020,412,3,"United Arab Emirates","AE","ARE",9630959
"10907","14/04/2020",14,4,2020,398,3,"United Arab Emirates","AE","ARE",9630959
"10908","13/04/2020",13,4,2020,387,2,"United Arab Emirates","AE","ARE",9630959
"10909","12/04/2020",12,4,2020,376,4,"United Arab Emirates","AE","ARE",9630959
"10910","11/04/2020",11,4,2020,370,2,"United Arab Emirates","AE","ARE",9630959
"10911","10/04/2020",10,4,2020,331,2,"United Arab Emirates","AE","ARE",9630959
"10912","09/04/2020",9,4,2020,300,0,"United Arab Emirates","AE","ARE",9630959
"10913","08/04/2020",8,4,2020,283,1,"United Arab Emirates","AE","ARE",9630959
"10914","07/04/2020",7,4,2020,277,1,"United Arab Emirates","AE","ARE",9630959
"10915","06/04/2020",6,4,2020,294,0,"United Arab Emirates","AE","ARE",9630959
"10916","05/04/2020",5,4,2020,481,2,"United Arab Emirates","AE","ARE",9630959
"10917","04/04/2020",4,4,2020,0,0,"United Arab Emirates","AE","ARE",9630959
"10918","03/04/2020",3,4,2020,360,2,"United Arab Emirates","AE","ARE",9630959
"10919","02/04/2020",2,4,2020,0,0,"United Arab Emirates","AE","ARE",9630959
"10920","01/04/2020",1,4,2020,53,1,"United Arab Emirates","AE","ARE",9630959
"10921","31/03/2020",31,3,2020,143,3,"United Arab Emirates","AE","ARE",9630959
"10922","30/03/2020",30,3,2020,0,0,"United Arab Emirates","AE","ARE",9630959
"10923","29/03/2020",29,3,2020,63,0,"United Arab Emirates","AE","ARE",9630959
"10924","28/03/2020",28,3,2020,72,0,"United Arab Emirates","AE","ARE",9630959
"10925","27/03/2020",27,3,2020,0,0,"United Arab Emirates","AE","ARE",9630959
"10926","26/03/2020",26,3,2020,85,0,"United Arab Emirates","AE","ARE",9630959
"10927","25/03/2020",25,3,2020,50,0,"United Arab Emirates","AE","ARE",9630959
"10928","24/03/2020",24,3,2020,45,0,"United Arab Emirates","AE","ARE",9630959
"10929","23/03/2020",23,3,2020,0,0,"United Arab Emirates","AE","ARE",9630959
"10930","22/03/2020",22,3,2020,13,2,"United Arab Emirates","AE","ARE",9630959
"10931","21/03/2020",21,3,2020,0,0,"United Arab Emirates","AE","ARE",9630959
"10932","20/03/2020",20,3,2020,27,0,"United Arab Emirates","AE","ARE",9630959
