"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2018"
"11117","18/04/2020",18,4,2020,53,1,"United Republic of Tanzania","TZ","TZA",56318348
"11118","17/04/2020",17,4,2020,6,0,"United Republic of Tanzania","TZ","TZA",56318348
"11119","16/04/2020",16,4,2020,35,1,"United Republic of Tanzania","TZ","TZA",56318348
"11120","15/04/2020",15,4,2020,7,0,"United Republic of Tanzania","TZ","TZA",56318348
"11121","14/04/2020",14,4,2020,14,0,"United Republic of Tanzania","TZ","TZA",56318348
"11122","13/04/2020",13,4,2020,0,0,"United Republic of Tanzania","TZ","TZA",56318348
"11123","12/04/2020",12,4,2020,0,0,"United Republic of Tanzania","TZ","TZA",56318348
"11124","11/04/2020",11,4,2020,7,2,"United Republic of Tanzania","TZ","TZA",56318348
"11125","10/04/2020",10,4,2020,0,0,"United Republic of Tanzania","TZ","TZA",56318348
"11126","09/04/2020",9,4,2020,1,0,"United Republic of Tanzania","TZ","TZA",56318348
"11127","08/04/2020",8,4,2020,0,0,"United Republic of Tanzania","TZ","TZA",56318348
"11128","07/04/2020",7,4,2020,2,0,"United Republic of Tanzania","TZ","TZA",56318348
"11129","06/04/2020",6,4,2020,1,0,"United Republic of Tanzania","TZ","TZA",56318348
"11130","05/04/2020",5,4,2020,0,0,"United Republic of Tanzania","TZ","TZA",56318348
"11131","04/04/2020",4,4,2020,0,0,"United Republic of Tanzania","TZ","TZA",56318348
"11132","03/04/2020",3,4,2020,1,0,"United Republic of Tanzania","TZ","TZA",56318348
"11133","02/04/2020",2,4,2020,1,0,"United Republic of Tanzania","TZ","TZA",56318348
"11134","01/04/2020",1,4,2020,0,0,"United Republic of Tanzania","TZ","TZA",56318348
"11135","31/03/2020",31,3,2020,5,0,"United Republic of Tanzania","TZ","TZA",56318348
"11136","30/03/2020",30,3,2020,1,0,"United Republic of Tanzania","TZ","TZA",56318348
"11137","29/03/2020",29,3,2020,0,1,"United Republic of Tanzania","TZ","TZA",56318348
"11138","28/03/2020",28,3,2020,0,0,"United Republic of Tanzania","TZ","TZA",56318348
"11139","27/03/2020",27,3,2020,1,0,"United Republic of Tanzania","TZ","TZA",56318348
"11140","26/03/2020",26,3,2020,0,0,"United Republic of Tanzania","TZ","TZA",56318348
"11141","25/03/2020",25,3,2020,0,0,"United Republic of Tanzania","TZ","TZA",56318348
"11142","24/03/2020",24,3,2020,0,0,"United Republic of Tanzania","TZ","TZA",56318348
"11143","23/03/2020",23,3,2020,6,0,"United Republic of Tanzania","TZ","TZA",56318348
"11144","22/03/2020",22,3,2020,3,0,"United Republic of Tanzania","TZ","TZA",56318348
"11145","21/03/2020",21,3,2020,0,0,"United Republic of Tanzania","TZ","TZA",56318348
"11146","20/03/2020",20,3,2020,0,0,"United Republic of Tanzania","TZ","TZA",56318348
"11147","19/03/2020",19,3,2020,2,0,"United Republic of Tanzania","TZ","TZA",56318348
"11148","18/03/2020",18,3,2020,0,0,"United Republic of Tanzania","TZ","TZA",56318348
"11149","17/03/2020",17,3,2020,1,0,"United Republic of Tanzania","TZ","TZA",56318348
