"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2018"
"11260","18/04/2020",18,4,2020,0,1,"United States Virgin Islands","VI","VIR",106977
"11261","17/04/2020",17,4,2020,0,0,"United States Virgin Islands","VI","VIR",106977
"11262","16/04/2020",16,4,2020,0,0,"United States Virgin Islands","VI","VIR",106977
"11263","15/04/2020",15,4,2020,0,0,"United States Virgin Islands","VI","VIR",106977
"11264","14/04/2020",14,4,2020,0,0,"United States Virgin Islands","VI","VIR",106977
"11265","13/04/2020",13,4,2020,0,0,"United States Virgin Islands","VI","VIR",106977
"11266","12/04/2020",12,4,2020,1,0,"United States Virgin Islands","VI","VIR",106977
"11267","11/04/2020",11,4,2020,0,0,"United States Virgin Islands","VI","VIR",106977
"11268","10/04/2020",10,4,2020,5,0,"United States Virgin Islands","VI","VIR",106977
"11269","09/04/2020",9,4,2020,0,0,"United States Virgin Islands","VI","VIR",106977
"11270","08/04/2020",8,4,2020,3,0,"United States Virgin Islands","VI","VIR",106977
"11271","07/04/2020",7,4,2020,0,0,"United States Virgin Islands","VI","VIR",106977
"11272","06/04/2020",6,4,2020,2,1,"United States Virgin Islands","VI","VIR",106977
"11273","05/04/2020",5,4,2020,0,0,"United States Virgin Islands","VI","VIR",106977
"11274","04/04/2020",4,4,2020,7,0,"United States Virgin Islands","VI","VIR",106977
"11275","03/04/2020",3,4,2020,3,0,"United States Virgin Islands","VI","VIR",106977
"11276","02/04/2020",2,4,2020,0,0,"United States Virgin Islands","VI","VIR",106977
"11277","01/04/2020",1,4,2020,0,0,"United States Virgin Islands","VI","VIR",106977
"11278","30/03/2020",30,3,2020,8,0,"United States Virgin Islands","VI","VIR",106977
"11279","29/03/2020",29,3,2020,3,0,"United States Virgin Islands","VI","VIR",106977
"11280","28/03/2020",28,3,2020,2,0,"United States Virgin Islands","VI","VIR",106977
"11281","27/03/2020",27,3,2020,0,0,"United States Virgin Islands","VI","VIR",106977
"11282","26/03/2020",26,3,2020,0,0,"United States Virgin Islands","VI","VIR",106977
"11283","25/03/2020",25,3,2020,0,0,"United States Virgin Islands","VI","VIR",106977
"11284","24/03/2020",24,3,2020,17,0,"United States Virgin Islands","VI","VIR",106977
