"","dateRep","day","month","year","cases","deaths","countriesAndTerritories","geoId","countryterritoryCode","popData2018"
"11150","18/04/2020",18,4,2020,30833,3770,"United_States_of_America","US","USA",327167434
"11151","17/04/2020",17,4,2020,31667,2299,"United_States_of_America","US","USA",327167434
"11152","16/04/2020",16,4,2020,30148,4928,"United_States_of_America","US","USA",327167434
"11153","15/04/2020",15,4,2020,26922,2408,"United_States_of_America","US","USA",327167434
"11154","14/04/2020",14,4,2020,25023,1541,"United_States_of_America","US","USA",327167434
"11155","13/04/2020",13,4,2020,27620,1500,"United_States_of_America","US","USA",327167434
"11156","12/04/2020",12,4,2020,28391,1831,"United_States_of_America","US","USA",327167434
"11157","11/04/2020",11,4,2020,35527,2087,"United_States_of_America","US","USA",327167434
"11158","10/04/2020",10,4,2020,33901,1873,"United_States_of_America","US","USA",327167434
"11159","09/04/2020",9,4,2020,33323,1922,"United_States_of_America","US","USA",327167434
"11160","08/04/2020",8,4,2020,30613,1906,"United_States_of_America","US","USA",327167434
"11161","07/04/2020",7,4,2020,30561,1342,"United_States_of_America","US","USA",327167434
"11162","06/04/2020",6,4,2020,25398,1146,"United_States_of_America","US","USA",327167434
"11163","05/04/2020",5,4,2020,34272,1344,"United_States_of_America","US","USA",327167434
"11164","04/04/2020",4,4,2020,32425,1104,"United_States_of_America","US","USA",327167434
"11165","03/04/2020",3,4,2020,28819,915,"United_States_of_America","US","USA",327167434
"11166","02/04/2020",2,4,2020,27103,1059,"United_States_of_America","US","USA",327167434
"11167","01/04/2020",1,4,2020,24998,909,"United_States_of_America","US","USA",327167434
"11168","31/03/2020",31,3,2020,21595,661,"United_States_of_America","US","USA",327167434
"11169","30/03/2020",30,3,2020,18360,318,"United_States_of_America","US","USA",327167434
"11170","29/03/2020",29,3,2020,19979,484,"United_States_of_America","US","USA",327167434
"11171","28/03/2020",28,3,2020,18695,411,"United_States_of_America","US","USA",327167434
"11172","27/03/2020",27,3,2020,16797,246,"United_States_of_America","US","USA",327167434
